CHEBI,Name
43474,phosphate
28938,NH4(+)
16526,CO2
18391,D-gluconate
17378,D-glyceraldehyde
16659,(R)-glycerate
17596,inosine
17754,glycerol
16842,formaldehyde
15740,formate
16004,(R)-lactate
15343,acetaldehyde
17256,2'-deoxyadenosine
17172,2'-deoxyguanosine
16450,2'-deoxyuridine
15354,choline
15589,(S)-malate
16750,guanosine
15378,H(+)
17544,hydrogencarbonate
16708,adenine
16947,citrate
18276,H2
17368,hypoxanthine
16810,2-oxoglutarate
16236,ethanol
17562,cytidine
16040,cytosine
28997,2'-deoxyinosine
13705,acetoacetate
47013,D-ribose
16235,guanine
15903,beta-D-glucose
16881,indole
16335,adenosine
15698,2'-deoxycytidine
15377,H2O
15379,O2
17712,xanthine
18107,xanthosine
17992,sucrose
17748,thymidine
17821,thymine
16301,nitrite
17997,N2
17790,methanol
17568,uracil
17775,urate
16199,urea
16704,uridine
16709,pyridoxine
15361,pyruvate
16189,sulfate
17310,pyridoxal
16899,D-mannitol
28061,alpha-D-galactose
29033,Fe(2+)
29034,Fe(3+)
506227,N-acetyl-D-glucosamine
57972,L-alanine
33384,L-serine
58095,L-phenylalanine
58315,L-tyrosine
29985,L-glutamate
57305,Glycine
29991,L-aspartate
32551,L-lysine
57844,L-methionine
57912,L-tryptophan
35235,L-cysteine
57595,L-histidine
58048,L-asparagine
57926,L-threonine
58359,L-glutamine
60039,L-proline
32682,L-arginine
57427,L-leucine
57762,L-valine
58045,L-isoleucine
29101,Na+
46911,Ornithine
17632,Nitrate
60344,heme
326268,putrescine
30089,acetate
17754,glycerol
40886,beta-L-arabinopyranose
507393,taurine
57834,spermidine
28645,fructose
30031,succinate
29806,fumarate
15792,malonate
15562,D-threo-isocitrate
58340,O-acetyl-L-serine
57287,CoA
57288,acetyl-CoA
15677,(R)-allantoin
15678,(S)-allantoin
16383,cis-aconitate
16651,(S)-lactate
57597,sn-glycerol 3-phosphate
46994,D-Arabinose
18333,D-arabinitol
59888,4-Amino Butyric Acid
58723,D-Glucosamine
58375,Hydroxy-L-Proline
57416,D-Alanine
35247,D-Serine
62346,L-Rhamnose
37721,D-Fructose
16763,a-Keto-Butyric Acid
17272,Propionic Acid
29805,glycolate
16452,oxaloacetate
57761,pyridoxamine
58515,l-ectoine
17154,nicotinamide
58537,cobyrinate diamide
140629,dialurate
57761,pyridoxamine
2181,l-fucose
29033,Fe(2+)
57433,sarcosine
57499,2-oxoadipate
58033,2-phosphoglycolate
17742,4-hydroxy-2-oxoglutarate
13941,carbamate
57360,6-carboxyhexanoyl-CoA
82735,pimeloyl-pantetheine-4-phosphorylserine methyl ester residue
